Rk,Player,Age,Team,Pos,G,GS,MPAVG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,MPTotal,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SEASON
1,Precious Achiuwa,24,2TM,C,74,18,21.9,3.2,6.3,0.501,0.4,1.3,0.268,2.8,5,0.562,0.529,0.9,1.5,0.616,2.6,4,6.6,1.3,0.6,0.9,1.1,1.9,7.6,,1624,14.6,0.545,0.207,0.239,13,20.5,16.7,8.4,1.4,3.9,13.8,15.9,1.2,2.2,3.4,0.102,-1.7,0.3,-1.4,0.2,2023
2,Bam Adebayo,26,MIA,C,71,71,34,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,"DPOY-3,AS,DEF1",2416,19.8,0.576,0.041,0.381,7.4,27.3,17.3,18.9,1.7,2.7,12,24.9,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7,2023
3,Ochai Agbaji,23,2TM,SG,78,28,21,2.3,5.6,0.411,0.8,2.7,0.294,1.5,2.8,0.523,0.483,0.5,0.7,0.661,0.9,1.8,2.8,1.1,0.6,0.6,0.8,1.5,5.8,,1641,7.7,0.497,0.487,0.129,4.9,9.6,7.2,6.6,1.4,2.4,12.3,13.4,-0.5,0.6,0.1,0.002,-3.5,-0.9,-4.4,-1,2023
4,Santi Aldama,23,MEM,PF,61,35,26.5,4,9.3,0.435,1.7,5,0.349,2.3,4.3,0.534,0.528,0.9,1.4,0.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7,,1618,13.1,0.539,0.535,0.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,0.4,2,2.4,0.07,-0.7,0.4,-0.2,0.7,2023
5,Nickeil Alexander-Walker,25,MIN,SG,82,20,23.4,2.9,6.6,0.439,1.6,4.1,0.391,1.3,2.5,0.517,0.56,0.6,0.8,0.8,0.4,1.6,2,2.5,0.8,0.5,0.9,1.7,8,,1921,10.9,0.578,0.623,0.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,1.5,2.8,4.3,0.107,-1.1,1.3,0.2,1.1,2023
6,Grayson Allen,28,PHO,SG,75,74,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.8,3.2,0.57,0.649,1.7,2,0.878,0.6,3.3,3.9,3,0.9,0.6,1.3,2.1,13.5,,2513,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2,2023
7,Jarrett Allen,25,CLE,C,77,77,31.7,6.7,10.6,0.634,0,0.1,0,6.7,10.6,0.638,0.634,3,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5,DPOY-10,2442,21.8,0.664,0.007,0.383,11.3,25.8,18.7,13.2,1.1,3,11.2,19.4,6.8,3.9,10.7,0.21,2.1,0.9,3,3.1,2023
8,Timmy Allen,24,MEM,SF,5,0,25,1.2,4.6,0.261,0,1.4,0,1.2,3.2,0.375,0.261,0.2,0.4,0.5,0.8,2.6,3.4,1,0.8,0,0.4,3.6,2.6,,125,0.8,0.272,0.304,0.087,3.4,11.8,7.4,5.4,1.6,0,7.7,8.9,-0.2,0.1,-0.1,-0.041,-10.3,-0.7,-11.1,-0.3,2023
9,Jose Alvarado,25,NOP,PG,56,0,18.4,2.5,6.2,0.412,1.4,3.7,0.377,1.1,2.5,0.464,0.525,0.6,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1,6MOY-6,1028,12.5,0.54,0.6,0.151,2.7,11,6.9,15.3,2.8,1.4,9.8,17.3,0.6,1.5,2.1,0.097,-1.5,1.5,-0.1,0.5,2023
10,Kyle Anderson,30,MIN,PF,79,10,22.6,2.5,5.5,0.46,0.1,0.6,0.229,2.4,4.9,0.488,0.472,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4,,1782,12.7,0.513,0.111,0.316,4,13,8.7,25,2,2.3,15.6,14.5,1.4,3.1,4.5,0.121,-1.6,2.7,1.1,1.4,2023
